time,Mag
1986.6852054794524,9.1
1986.6879452054798,9.1
1986.6906849315071,8.6
1986.6906849315071,9.2
1986.7071232876715,9.0
1986.7482191780825,8.6
1986.7589041095891,9.1
1986.7619178082193,9.1
1986.7643835616439,9.4
1986.7698630136986,9.4
1986.772876712329,9.2
1986.7736383561644,9.4
1986.7753424657535,8.8
1986.778356164384,9.4
1986.7810958904113,8.6
1986.7810958904113,9.4
1986.808493150685,9.2
1986.8310931506846,8.9
1986.835890410959,9.4
1986.8386301369865,9.6
1986.8550684931508,8.6
1986.8575342465754,9.2
1986.8588767123294,9.2
1986.895616438356,9.2
1986.9013698630138,9.4
1986.904947945205,9.5
1986.9164383561645,9.4
1986.921583561644,9.0
1986.931232876712,9.2
1986.9383561643835,9.6
1986.9416986301376,9.2
1986.948767123287,9.2
1986.9546301369862,9.2
1986.967945205479,9.2
1986.9736986301368,9.7
1986.9753424657533,9.1
1986.9756164383564,9.2
1986.9797260273974,8.8
1986.9934246575344,8.9
1986.9958082191786,9.2
1986.9994520547941,9.3
1987.0021917808215,9.0
1987.0024657534243,9.3
1987.005205479452,9.2
1987.009589041096,8.8
1987.013150684931,9.0
1987.0150684931507,9.2
1987.0167123287674,9.0
1987.0194520547948,9.0
1987.0205479452054,8.7
1987.0213698630132,9.0
1987.0221917808221,9.0
1987.0323287671229,9.1
1987.0372602739728,8.8
1987.0463013698627,9.2
1987.0506849315068,9.2
1987.0564383561646,8.8
1987.0597260273967,9.0
1987.0632876712332,9.2
1987.0652054794516,9.2
1987.067945205479,9.2
1987.0701369863016,8.7
1987.0734246575337,8.7
1987.0734246575337,9.2
1987.076164383561,9.2
1987.0782739726023,9.2
1987.0800000000006,9.2
1987.0835616438355,8.7
1987.0915068493148,9.6
1987.0989041095893,8.9
1987.1027397260275,8.8
1987.1243835616435,8.9
1987.1361643835621,8.8
1987.137260273973,9.0
1987.1402739726032,8.5
1987.1518904109587,9.4
1987.1526027397265,9.0
1987.1621917808225,9.2
1987.1635616438361,9.0
1987.1654794520546,8.8
1987.1663013698635,9.1
1987.1717808219182,9.3
1987.1737534246574,9.2
1987.1775342465749,9.0
1987.1791780821916,9.6
1987.1802739726022,9.0
1987.181917808219,8.9
1987.18202739726,9.2
1987.1854794520552,9.2
1987.1882191780826,9.0
1987.191506849315,9.0
1987.1936986301375,9.0
1987.209315068493,8.8
1987.2128767123293,9.0
1987.214246575343,9.0
1987.2175068493154,9.1
1987.2241095890406,9.0
1987.227671232877,9.0
1987.2284931506847,8.8
1987.2285479452053,9.2
1987.2328767123288,8.6
1987.2358904109592,9.1
1987.2378082191776,9.0
1987.2402739726033,9.0
1987.2423561643834,9.3
1987.2432876712323,9.0
1987.244931506849,8.9
1987.245753424658,9.0
1987.2484931506854,9.0
1987.2539726027403,9.0
1987.255068493151,9.0
1987.2569863013694,9.0
1987.2587123287676,9.3
1987.2589041095891,9.1
1987.259452054795,9.0
1987.262465753424,9.0
1987.2652054794517,8.8
1987.2668493150682,8.8
1987.2676712328773,9.0
1987.273150684932,9.0
1987.2778082191778,8.8
1987.2786301369867,9.0
1987.2841095890417,9.0
1987.286849315069,9.0
1987.2923287671238,9.0
1987.297095890411,9.2
1987.2978082191787,9.0
1987.2980821917804,9.0
1987.299726027397,8.9
1987.3008219178078,9.0
1987.3032876712334,9.0
1987.3087671232881,9.0
1987.3106849315066,9.7
1987.3126027397263,8.6
1987.313424657534,8.9
1987.3135890410958,9.3
1987.314246575343,9.0
1987.3169863013704,9.0
1987.3197260273978,9.0
1987.3224657534251,9.0
1987.3254794520542,9.0
1987.3306849315074,9.0
1987.3353424657532,9.4
1987.3361643835622,9.0
1987.3380821917806,8.8
1987.3380821917806,9.2
1987.3389041095895,9.0
1987.3416438356169,9.0
1987.3635616438362,9.0
1987.3663013698635,9.0
1987.3681643835614,9.3
1987.369041095891,9.0
1987.3717808219183,9.0
1987.3745205479456,9.0
1987.3800000000006,9.0
1987.381917808219,9.2
1987.382739726028,9.0
1987.3928493150688,9.2
1987.3936986301376,9.0
1987.396438356165,9.0
1987.3991780821923,9.0
1987.4019178082197,9.0
1987.4021917808213,9.0
1987.404657534247,9.1
1987.4128767123293,9.0
1987.418356164384,9.0
1987.4210958904114,9.0
1987.423835616439,8.8
1987.4265753424663,9.0
1987.4503835616442,8.7
1987.4512328767128,9.0
